symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2023-01-03 14:28:00+00:00,129.13,129.13,129.13,129.13,310.0,6.0,129.13
AAPL,2023-01-03 14:29:00+00:00,128.87,128.87,128.87,128.87,180.0,5.0,128.87
AAPL,2023-01-03 14:30:00+00:00,128.72,129.12,128.24,128.24,76479.0,377.0,128.76
AAPL,2023-01-03 14:31:00+00:00,128.24,128.32,127.97,128.16,25302.0,141.0,128.2
AAPL,2023-01-03 14:32:00+00:00,128.14,128.25,128.05,128.05,3803.0,39.0,128.17
AAPL,2023-01-03 14:33:00+00:00,127.97,128.44,127.97,128.44,10160.0,44.0,128.26
AAPL,2023-01-03 14:34:00+00:00,128.5,128.62,128.23,128.3,9583.0,83.0,128.39
AAPL,2023-01-03 14:35:00+00:00,128.42,128.68,128.36,128.36,19670.0,80.0,128.53
AAPL,2023-01-03 14:36:00+00:00,128.3,128.37,128.02,128.06,12832.0,117.0,128.12
AAPL,2023-01-03 14:37:00+00:00,128.07,128.57,128.06,128.55,24440.0,186.0,128.22
AAPL,2023-01-03 14:38:00+00:00,128.52,128.66,128.51,128.51,10623.0,75.0,128.59
AAPL,2023-01-03 14:39:00+00:00,128.62,129.02,128.62,128.87,3211.0,16.0,128.76
AAPL,2023-01-03 14:40:00+00:00,129.0,129.0,128.87,128.96,2106.0,25.0,128.93
AAPL,2023-01-03 14:41:00+00:00,129.01,129.24,129.01,129.2,7965.0,37.0,129.12
AAPL,2023-01-03 14:42:00+00:00,129.32,129.32,128.9,128.9,6111.0,53.0,129.14
AAPL,2023-01-03 14:43:00+00:00,128.98,129.07,128.93,128.93,3411.0,30.0,129.0
AAPL,2023-01-03 14:44:00+00:00,129.02,129.09,128.29,128.29,12524.0,102.0,128.74
AAPL,2023-01-03 14:45:00+00:00,128.4,128.57,128.15,128.15,8121.0,64.0,128.33
AAPL,2023-01-03 14:46:00+00:00,128.14,128.3,128.12,128.28,3688.0,33.0,128.23
AAPL,2023-01-03 14:47:00+00:00,128.29,128.33,127.76,127.76,3096.0,37.0,128.01
AAPL,2023-01-03 14:48:00+00:00,127.79,127.79,127.12,127.12,5503.0,53.0,127.52
AAPL,2023-01-03 14:49:00+00:00,127.06,127.17,127.03,127.08,15654.0,91.0,127.1
AAPL,2023-01-03 14:50:00+00:00,127.05,127.2,127.0,127.2,6813.0,37.0,127.03
AAPL,2023-01-03 14:51:00+00:00,127.09,127.12,126.82,126.87,3615.0,31.0,126.99
AAPL,2023-01-03 14:52:00+00:00,126.88,126.9,126.19,126.19,14684.0,124.0,126.62
AAPL,2023-01-03 14:53:00+00:00,126.17,126.39,126.17,126.35,3015.0,32.0,126.29
AAPL,2023-01-03 14:54:00+00:00,126.41,126.43,126.34,126.38,5086.0,40.0,126.38
AAPL,2023-01-03 14:55:00+00:00,126.38,126.45,126.07,126.22,4988.0,57.0,126.29
AAPL,2023-01-03 14:56:00+00:00,126.28,126.46,126.21,126.21,3920.0,34.0,126.31
AAPL,2023-01-03 14:57:00+00:00,126.21,126.24,126.01,126.01,3894.0,43.0,126.09
AAPL,2023-01-03 14:58:00+00:00,125.95,125.95,125.71,125.78,5110.0,50.0,125.83
AAPL,2023-01-03 14:59:00+00:00,125.75,125.81,125.42,125.42,11192.0,77.0,125.59
AAPL,2023-01-03 15:00:00+00:00,125.46,125.68,125.46,125.68,17276.0,150.0,125.57
AAPL,2023-01-03 15:01:00+00:00,125.65,125.76,125.52,125.52,6327.0,78.0,125.65
AAPL,2023-01-03 15:02:00+00:00,125.55,125.55,125.31,125.35,5040.0,56.0,125.41
AAPL,2023-01-03 15:03:00+00:00,125.35,125.41,125.29,125.3,14047.0,89.0,125.33
AAPL,2023-01-03 15:04:00+00:00,125.36,125.36,124.94,125.02,6133.0,64.0,125.13
AAPL,2023-01-03 15:05:00+00:00,125.01,125.31,124.95,125.31,9962.0,67.0,125.09
AAPL,2023-01-03 15:06:00+00:00,125.29,125.29,125.06,125.09,7470.0,61.0,125.15
AAPL,2023-01-03 15:07:00+00:00,125.1,125.29,125.1,125.29,5683.0,38.0,125.21
AAPL,2023-01-03 15:08:00+00:00,125.26,125.27,125.08,125.24,6624.0,53.0,125.19
AAPL,2023-01-03 15:09:00+00:00,125.16,125.17,124.97,125.0,7677.0,57.0,125.05
AAPL,2023-01-03 15:10:00+00:00,124.99,125.01,124.83,124.98,6394.0,73.0,124.92
AAPL,2023-01-03 15:11:00+00:00,125.01,125.01,124.64,124.73,10828.0,94.0,124.77
AAPL,2023-01-03 15:12:00+00:00,124.67,124.72,124.59,124.67,12621.0,120.0,124.65
AAPL,2023-01-03 15:13:00+00:00,124.63,124.63,124.41,124.44,4527.0,51.0,124.51
AAPL,2023-01-03 15:14:00+00:00,124.45,124.58,124.31,124.41,5667.0,52.0,124.46
