symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2023-01-03 14:30:00+00:00,239.14,239.21,238.26,238.26,6884.0,78.0,238.8
MSFT,2023-01-03 14:31:00+00:00,238.2,238.29,237.89,238.29,1180.0,15.0,238.15
MSFT,2023-01-03 14:32:00+00:00,238.38,238.76,238.38,238.76,1828.0,31.0,238.57
MSFT,2023-01-03 14:33:00+00:00,239.21,239.92,239.12,239.92,1957.0,28.0,239.28
MSFT,2023-01-03 14:34:00+00:00,239.97,240.06,239.25,239.25,1440.0,24.0,239.55
MSFT,2023-01-03 14:35:00+00:00,239.52,239.52,238.9,238.9,2686.0,28.0,239.23
MSFT,2023-01-03 14:36:00+00:00,239.12,239.12,238.59,238.79,2231.0,26.0,238.74
MSFT,2023-01-03 14:37:00+00:00,238.85,240.08,238.85,240.01,4560.0,41.0,239.4
MSFT,2023-01-03 14:38:00+00:00,240.01,240.38,239.89,239.89,2173.0,34.0,240.17
MSFT,2023-01-03 14:39:00+00:00,240.42,240.92,240.42,240.73,1236.0,22.0,240.7
MSFT,2023-01-03 14:40:00+00:00,240.82,241.24,240.74,241.24,1665.0,25.0,240.95
MSFT,2023-01-03 14:41:00+00:00,241.52,241.52,241.26,241.44,2469.0,97.0,241.42
MSFT,2023-01-03 14:42:00+00:00,241.52,241.77,241.5,241.5,5980.0,73.0,241.63
MSFT,2023-01-03 14:43:00+00:00,241.5,241.76,241.49,241.49,2414.0,34.0,241.59
MSFT,2023-01-03 14:44:00+00:00,241.4,241.49,240.53,240.53,3566.0,36.0,241.0
MSFT,2023-01-03 14:45:00+00:00,240.65,240.69,240.08,240.2,3410.0,42.0,240.37
MSFT,2023-01-03 14:46:00+00:00,240.03,240.57,240.03,240.57,831.0,11.0,240.29
MSFT,2023-01-03 14:47:00+00:00,240.63,240.63,239.98,239.98,2138.0,28.0,240.32
MSFT,2023-01-03 14:48:00+00:00,240.01,240.09,239.22,239.22,1246.0,24.0,239.78
MSFT,2023-01-03 14:49:00+00:00,239.04,239.58,239.04,239.47,1500.0,20.0,239.4
MSFT,2023-01-03 14:50:00+00:00,239.34,239.61,239.28,239.35,2573.0,36.0,239.42
MSFT,2023-01-03 14:51:00+00:00,239.38,239.53,239.18,239.45,2768.0,31.0,239.38
MSFT,2023-01-03 14:52:00+00:00,239.43,239.52,238.5,238.5,2092.0,43.0,239.15
MSFT,2023-01-03 14:53:00+00:00,238.51,238.51,238.0,238.08,2059.0,29.0,238.18
MSFT,2023-01-03 14:54:00+00:00,238.01,238.08,237.87,238.04,1719.0,20.0,237.99
MSFT,2023-01-03 14:55:00+00:00,238.03,238.08,237.53,237.65,2194.0,21.0,237.75
MSFT,2023-01-03 14:56:00+00:00,237.95,238.04,237.95,238.04,236.0,7.0,238.0
MSFT,2023-01-03 14:57:00+00:00,238.05,238.05,237.78,238.01,1146.0,16.0,237.89
MSFT,2023-01-03 14:58:00+00:00,237.93,237.96,237.7,237.77,1301.0,15.0,237.87
MSFT,2023-01-03 14:59:00+00:00,237.64,237.7,237.46,237.54,810.0,11.0,237.57
