type,name,url,function_definition,parameters,return
Price trends,ATR Trailing Stop,https://python.stockindicators.dev/indicators/AtrStop/#content,"""get_atr_stop(quotes, lookback_periods=21, multiplier=3, end_type=EndType.CLOSE)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 21"", ""notes"": ""Number of periods (N) for the ATR evaluation. Must be greater than 1.""}, {""name"": ""multiplier"", ""type"": ""float, default 3"", ""notes"": ""Multiplier sets the ATR band width. Must be greater than 0 and is usually set around 2 to 3.""}, {""name"": ""end_type"", ""type"": ""EndType, default EndType.Close"", ""notes"": ""Determines whether Close or High/Low is used as basis for stop offset. See EndType options below.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""atr_stop"", ""type"": ""Decimal, Optional"", ""notes"": ""ATR Trailing Stop line contains both Upper and Lower segments""}, {""name"": ""buy_stop"", ""type"": ""Decimal, Optional"", ""notes"": ""Upper band only (green)""}, {""name"": ""sell_stop"", ""type"": ""Decimal, Optional"", ""notes"": ""Lower band only (red)""}]"
Price trends,Aroon,https://python.stockindicators.dev/indicators/Aroon/#content,"""get_aroon(quotes, lookback_periods=25)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 25"", ""notes"": ""Number of periods (N) for the lookback evaluation. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""aroon_up"", ""type"": ""float, Optional"", ""notes"": ""Based on last High price""}, {""name"": ""aroon_down"", ""type"": ""float, Optional"", ""notes"": ""Based on last Low price""}, {""name"": ""oscillator"", ""type"": ""float, Optional"", ""notes"": ""AroonUp - AroonDown""}]"
Price trends,Average Directional Index (ADX),https://python.stockindicators.dev/indicators/Adx/#content,"""get_adx(quotes, lookback_periods=14)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 14"", ""notes"": ""Number of periods (N) for the lookback evaluation. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""pdi"", ""type"": ""float, Optional"", ""notes"": ""Plus Directional Index (+DI)""}, {""name"": ""mdi"", ""type"": ""float, Optional"", ""notes"": ""Minus Directional Index (-DI)""}, {""name"": ""adx"", ""type"": ""float, Optional"", ""notes"": ""Average Directional Index (ADX)""}, {""name"": ""adxr"", ""type"": ""float, Optional"", ""notes"": ""Average Directional Index Rating (ADXR)""}]"
Price trends,Directional Movement Index (DMI),https://python.stockindicators.dev/indicators/Adx/#content,"""get_adx(quotes, lookback_periods=14)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 14"", ""notes"": ""Number of periods (N) for the lookback evaluation. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""pdi"", ""type"": ""float, Optional"", ""notes"": ""Plus Directional Index (+DI)""}, {""name"": ""mdi"", ""type"": ""float, Optional"", ""notes"": ""Minus Directional Index (-DI)""}, {""name"": ""adx"", ""type"": ""float, Optional"", ""notes"": ""Average Directional Index (ADX)""}, {""name"": ""adxr"", ""type"": ""float, Optional"", ""notes"": ""Average Directional Index Rating (ADXR)""}]"
Price trends,Elder-ray Index,https://python.stockindicators.dev/indicators/ElderRay/#content,"""get_elder_ray(quotes, lookback_periods=13)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 13"", ""notes"": ""Number of periods (N) for the underlying EMA evaluation. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""ema"", ""type"": ""float, Optional"", ""notes"": ""Exponential moving average of Close price""}, {""name"": ""bull_power"", ""type"": ""float, Optional"", ""notes"": ""Bull Power""}, {""name"": ""bear_power"", ""type"": ""float, Optional"", ""notes"": ""Bear Power""}]"
Price trends,Gator Oscillator,https://python.stockindicators.dev/indicators/Gator/#content,"""get_gator(quotes: Iterable[Quote])""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote] or Iterable[AlligatorResult]"", ""notes"": ""Iterable of the Quote or Alligator Result.  \u2022 See here for usage with pandas.DataFrame""}]",[]
Price trends,Hurst Exponent,https://python.stockindicators.dev/indicators/Hurst/#content,"""get_hurst(quotes, lookback_periods=100)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 100"", ""notes"": ""Number of periods (N) in the Hurst Analysis. Must be greater than 20.""}]",[]
Price trends,Ichimoku Cloud,https://python.stockindicators.dev/indicators/Ichimoku/#content,"""get_ichimoku(quotes, tenkan_periods=9, kijun_periods=26, senkou_b_periods=52)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""tenkan_periods"", ""type"": ""int, default 9"", ""notes"": ""Number of periods (T) in the Tenkan-sen midpoint evaluation. Must be greater than 0.""}, {""name"": ""kijun_periods"", ""type"": ""int, default 26"", ""notes"": ""Number of periods (K) in the shorter Kijun-sen midpoint evaluation. Must be greater than 0.""}, {""name"": ""senkou_b_periods"", ""type"": ""int, default 52"", ""notes"": ""Number of periods (S) in the longer Senkou leading span B midpoint evaluation. Must be greater than K.""}, {""name"": ""offset_periods"", ""type"": ""int"", ""notes"": ""Number of periods to offset both Senkou and Chikou spans. Must be non-negative. Default is kijun_periods.""}, {""name"": ""senkou_offset"", ""type"": ""int"", ""notes"": ""Number of periods to offset the Senkou span. Must be non-negative. Default is kijun_periods.""}, {""name"": ""chikou_offset"", ""type"": ""int"", ""notes"": ""Number of periods to offset the Chikou span. Must be non-negative. Default is kijun_periods.""}]",[]
Price trends,Moving Average Convergence / Divergence (MACD),https://python.stockindicators.dev/indicators/Macd/#content,"""get_macd(quotes, fast_periods=12, slow_periods=26, signal_periods=9)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""fast_periods"", ""type"": ""int, default 12"", ""notes"": ""Number of periods (F) for the faster moving average. Must be greater than 0.""}, {""name"": ""slow_periods"", ""type"": ""int, default 26"", ""notes"": ""Number of periods (S) for the slower moving average. Must be greater than fast_periods.""}, {""name"": ""signal_periods"", ""type"": ""int, default 9"", ""notes"": ""Number of periods (P) for the moving average of MACD. Must be greater than or equal to 0.""}, {""name"": ""candle_part"", ""type"": ""CandlePart, default CandlePart.CLOSE"", ""notes"": ""Specify candle part to evaluate. See CandlePart options below.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""macd"", ""type"": ""float, Optional"", ""notes"": ""The MACD line is the difference between slow and fast moving averages (macd = fast_ema - slow_ema)""}, {""name"": ""signal"", ""type"": ""float, Optional"", ""notes"": ""Moving average of the macd line""}, {""name"": ""histogram"", ""type"": ""float, Optional"", ""notes"": ""Gap between of the macd and signal line""}, {""name"": ""fast_ema"", ""type"": ""float, Optional"", ""notes"": ""Fast Exponential Moving Average""}, {""name"": ""slow_ema"", ""type"": ""float, Optional"", ""notes"": ""Slow Exponential Moving Average""}]"
Price trends,SuperTrend,https://python.stockindicators.dev/indicators/SuperTrend/#content,"""get_super_trend(quotes, lookback_periods=10, multiplier=3)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 10"", ""notes"": ""Number of periods (N) for the ATR evaluation. Must be greater than 1 and is usually set between 7 and 14.""}, {""name"": ""multiplier"", ""type"": ""float, default 3"", ""notes"": ""Multiplier sets the ATR band width. Must be greater than 0 and is usually set around 2 to 3.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""super_trend"", ""type"": ""Decimal, Optional"", ""notes"": ""SuperTrend line contains both Upper and Lower segments""}, {""name"": ""upper_band"", ""type"": ""Decimal, Optional"", ""notes"": ""Upper band only (bearish/red)""}, {""name"": ""lower_band"", ""type"": ""Decimal, Optional"", ""notes"": ""Lower band only (bullish/green)""}]"
