time,open,high,low,close
1675089660,198.9,199.06,198.55,198.74
1675089720,198.38,199.25,198.38,198.76
1675089780,198.5,198.62,198.47,198.55
1675089840,198.63,199.41,198.63,199.19
1675089900,199.39,199.99,199.39,199.83
1675089960,199.76,199.99,199.47,199.96
1675090020,199.99,200.72,199.9,200.71
1675090080,200.89,201.28,200.8,200.8
1675090140,200.74,200.74,199.6,199.98
1675090200,199.82,199.83,198.94,199.02
1675090260,199.06,199.57,199.06,199.44
1675090320,199.5,199.99,199.3,199.98
1675090380,199.79,199.97,199.58,199.68
1675090440,199.65,199.66,198.57,198.83
1675090500,198.5,199.3,198.3,199.17
1675090560,199.22,199.86,199.22,199.43
1675090620,199.46,199.88,199.35,199.35
1675090680,199.27,199.27,199.01,199.05
1675090740,199.18,199.28,198.87,199.18
1675090800,199.31,199.31,198.45,198.5
1675090860,198.82,199.74,198.82,199.68
1675090920,199.49,199.51,198.96,199.26
1675090980,199.24,199.24,198.82,198.82
1675091040,198.85,198.9,198.72,198.83
1675091100,198.77,199.44,198.77,199.44
1675091160,199.39,199.39,199.0,199.18
1675091220,199.09,199.24,198.8,198.8
1675091280,198.68,198.68,198.21,198.49
1675091340,198.44,198.68,198.43,198.52
1675091400,198.55,198.68,198.5,198.5
1675091460,198.72,198.72,198.37,198.37
1675091520,198.52,198.83,198.51,198.69
1675091580,198.63,198.87,198.63,198.63
1675091640,198.71,199.06,198.71,199.06
1675091700,199.05,199.05,198.53,198.7
1675091760,198.44,198.44,197.85,197.85
1675091820,197.94,198.5,197.88,198.32
1675091880,198.33,198.33,197.94,197.94
1675091940,197.8,197.99,197.8,197.91
1675092000,197.71,197.85,197.5,197.83
1675092060,197.55,197.58,197.34,197.34
1675092120,197.37,197.39,197.25,197.29
1675092180,197.25,197.25,196.76,197.0
1675092240,196.93,196.93,196.55,196.57
1675092300,196.5,196.97,196.5,196.54
1675092360,196.36,196.36,195.71,195.76
1675092420,195.64,195.64,195.35,195.45
1675092480,195.54,195.54,195.2,195.51
1675092540,195.47,196.27,195.47,196.27
1675092600,196.29,196.29,195.77,195.88
1675092660,195.89,195.95,195.605,195.605
1675092720,195.59,195.82,195.59,195.82
1675092780,196.05,196.05,195.81,195.89
1675092840,195.88,195.96,195.59,195.89
1675092900,195.84,195.84,195.64,195.7
1675092960,195.62,195.62,195.15,195.6
1675093020,195.65,195.66,195.18,195.18
1675093080,195.205,195.28,194.8,194.91
1675093140,195.0,195.36,195.0,195.33
1675093200,195.34,195.53,195.01,195.12
1675093260,195.03,195.1,194.63,194.87
