time,open,high,low,close
1679615760,273.1,273.1,273.1,273.1
1679656140,269.61,269.61,269.61,269.61
1679660280,268.7,268.7,268.7,268.7
1679660760,269.0,269.0,269.0,269.0
1679661720,269.05,269.05,269.05,269.05
1679662140,269.22,269.22,269.22,269.22
1679662500,269.86,269.86,269.86,269.86
1679662560,270.0,270.0,270.0,270.0
1679663040,270.06,270.06,270.06,270.06
1679663760,270.0,270.0,270.0,270.0
1679664540,270.47,270.47,270.47,270.47
1679664600,270.31,271.63,270.12,270.48
1679664660,270.55,271.29,270.51,270.85
1679664720,270.69,270.8,269.58,270.13
1679664780,270.09,270.17,269.41,270.17
1679664840,270.28,270.42,269.85,269.85
1679664900,269.75,270.1,269.58,269.65
1679664960,269.59,269.59,269.0,269.15
1679665020,269.2,269.41,268.68,268.88
1679665080,268.85,269.35,268.85,269.19
1679665140,269.16,269.33,268.69,268.77
1679665200,268.62,268.65,268.205,268.25
1679665260,268.51,268.67,267.6,267.79
1679665320,267.69,267.69,267.18,267.24
1679665380,267.24,267.77,267.03,267.5
1679665440,267.61,267.94,267.38,267.73
1679665500,267.58,268.16,267.2,267.38
1679665560,267.55,267.66,266.55,266.68
1679665620,266.84,267.17,266.38,267.02
1679665680,266.82,267.26,266.79,266.86
1679665740,266.79,266.9,266.57,266.81
1679665800,266.63,267.53,266.6,267.17
1679665860,267.18,267.26,266.96,267.18
1679665920,267.22,267.57,267.01,267.42
1679665980,267.4,268.2,267.4,268.0
1679666040,267.8,267.8,267.5,267.63
1679666100,267.73,268.23,267.73,268.01
1679666160,268.32,268.66,268.22,268.51
1679666220,268.48,268.6,268.21,268.21
1679666280,268.16,268.29,268.0,268.29
1679666340,268.27,268.57,267.96,268.19
1679666400,268.06,268.45,267.78,267.93
1679666460,268.29,268.3,268.1,268.1
1679666520,268.19,268.19,267.52,267.82
1679666580,268.04,268.04,267.42,267.63
1679666640,267.66,267.905,267.55,267.85
1679666700,267.85,268.42,267.58,268.33
1679666760,268.25,268.73,267.79,267.79
1679666820,268.14,268.14,267.57,267.58
1679666880,267.26,267.35,266.77,266.93
1679666940,267.06,267.39,267.06,267.34
1679667000,267.14,267.36,267.1,267.36
1679667060,267.76,267.8,267.45,267.57
1679667120,267.75,268.13,267.61,268.11
1679667180,268.0,268.4,268.0,268.19
1679667240,268.09,268.27,267.83,267.87
1679667300,267.49,267.49,266.97,267.1
1679667360,267.17,267.29,266.77,267.05
1679667420,267.0,267.44,266.69,267.44
1679667480,267.6,267.67,267.21,267.55
1679667540,267.43,267.43,266.86,267.0
1679667600,267.2,267.27,266.63,266.65
1679667660,266.67,266.72,265.99,266.15
1679667720,266.25,266.26,265.7,266.1
1679667780,266.26,266.26,265.92,265.92
1679667840,265.8,266.02,265.61,265.87
1679667900,266.13,266.52,266.02,266.02
1679667960,265.87,266.72,265.83,266.51
1679668020,266.69,266.69,266.47,266.54
1679668080,266.39,267.06,266.38,267.04
1679668140,267.31,267.38,267.1,267.1
1679668200,267.32,267.41,266.96,267.31
1679668260,267.47,267.66,267.28,267.28
1679668320,267.15,267.18,266.86,266.86
1679668380,266.85,267.4,266.85,267.35
1679668440,267.12,267.4,267.1,267.4
1679668500,267.4,267.6,266.81,266.97
1679668560,266.71,267.04,266.71,266.91
1679668620,267.09,267.28,266.98,267.28
1679668680,267.48,267.48,267.25,267.41
1679668740,267.21,267.4,267.21,267.29
1679668800,267.19,267.39,266.7,266.72
1679668860,266.94,266.94,266.63,266.9
1679668920,266.85,266.85,266.58,266.58
1679668980,266.73,266.77,266.36,266.36
1679669040,266.35,266.4,266.26,266.38
1679669100,266.61,266.77,266.49,266.49
1679669160,266.41,266.5,266.08,266.5
1679669220,266.565,266.565,266.3,266.51
1679669280,266.4,266.65,266.26,266.65
1679669340,266.68,266.85,266.25,266.25
1679669400,266.22,266.55,266.05,266.52
1679669460,266.36,266.43,265.82,265.83
1679669520,265.82,265.91,265.54,265.58
1679669580,265.55,265.59,265.22,265.53
1679669640,265.61,265.62,264.92,265.37
1679669700,265.36,265.38,265.11,265.33
1679669760,265.34,265.67,265.34,265.54
1679669820,265.55,265.71,265.2,265.3
1679669880,265.39,265.42,265.13,265.18
1679669940,265.19,265.41,265.07,265.24
1679670000,265.13,265.51,265.0,265.0
1679670060,265.07,265.07,264.7,264.7
1679670120,264.7,264.95,264.65,264.82
1679670180,264.77,265.1,264.77,264.92
1679670240,264.95,265.22,264.95,265.08
1679670300,265.29,265.35,265.0,265.0
1679670360,265.03,265.09,264.75,264.92
1679670420,264.88,264.88,264.42,264.42
1679670480,264.41,264.41,264.07,264.07
1679670540,264.07,264.35,263.98,264.11
1679670600,264.07,264.07,263.74,263.87
1679670660,263.92,263.95,263.59,263.84
1679670720,263.78,264.33,263.77,264.24
1679670780,264.17,264.17,263.55,263.9
1679670840,263.93,264.0,263.75,264.0
1679670900,264.02,264.7,263.99,264.55
1679670960,264.71,264.71,264.19,264.37
1679671020,264.41,264.7,264.41,264.7
1679671080,264.66,264.79,264.25,264.53
1679671140,264.28,264.28,264.05,264.09
1679671200,264.32,264.43,263.96,264.36
1679671260,264.21,264.57,264.11,264.28
1679671320,264.23,264.35,264.11,264.19
1679671380,264.16,264.5,264.16,264.39
1679671440,264.34,264.44,264.05,264.15
1679671500,264.55,264.55,264.4,264.49
1679671560,264.55,264.65,264.48,264.55
1679671620,264.54,264.64,264.34,264.34
1679671680,264.48,264.67,264.48,264.51
1679671740,264.57,264.67,264.57,264.57
1679671800,264.5,264.77,264.28,264.72
1679671860,264.51,265.04,264.51,264.74
1679671920,264.69,264.71,264.5,264.71
1679671980,264.63,264.63,264.35,264.37
1679672040,264.32,264.65,264.21,264.62
